node;isolate_number;strain;reference;node_color;OIU;OIU_color;OIU_node_line_color;node_line_color;node_line_width;node_size
S0742_M2_LINEAR_1;;LMG 11438;No; #0080ff;11;#86cf01;#000000;#000000;1;10
S0742_D14_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0742_J1_LINEAR_1;;LMG 16322;No; #0d7a2f;18;#5455f8;#000000;#000000;1;10
S0742_G7_LINEAR_1;;LMG 11434;No;#00ff00;15;#80ffff;#000000;#000000;1;10
S0742_A7_LINEAR_1;;LMG 7761;No; #8955f3;4;#390ca8;#000000;#000000;1;10
S0743_I2_LINEAR_1;;LMG 6906T;No; #00ff80;12;#fe4a81;#000000;#000000;1;10
S0742_K15_LINEAR_1;;LMG 7761;No; #8955f3;4;#390ca8;#000000;#000000;1;10
S0742_M1_LINEAR_1;;LMG 11438;No; #0080ff;11;#86cf01;#000000;#000000;1;10
S0742_O17_LINEAR_1;;R-47349;No; #0e025e;28;#ff0080;#000000;#000000;1;10
S0743_C12_LINEAR_1;;R-49154;No; #15ae8c;20;#6dada4;#000000;#000000;1;10
S0742_L9_LINEAR_1;;R-49154;No; #15ae8c;22;#ff0000;#000000;#000000;1;10
S0743_C1_LINEAR_1;;R-47313;No; #f64572;9;#ffff00;#000000;#000000;1;10
S0742_A11_LINEAR_1;;LMG 11434;No;#00ff00;15;#80ffff;#000000;#000000;1;10
S0742_P8_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0743_F13_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0742_A12_LINEAR_1;;LMG 11434;No;#00ff00;15;#80ffff;#000000;#000000;1;10
S0742_B22_LINEAR_1;;LMG 11495;No; #ff8000;9;#ffff00;#000000;#000000;1;10
S0742_B9_LINEAR_1;;LMG 11401;No; #d08a66;20;#6dada4;#000000;#000000;1;10
S0742_K4_LINEAR_1;;R-47349;No; #0e025e;28;#ff0080;#000000;#000000;1;10
S0743_E4_LINEAR_1;;LMG 11495;No; #ff8000;19;#096887;#000000;#000000;1;10
S0742_C14_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0742_O10_LINEAR_1;;R-47313;No; #f64572;9;#ffff00;#000000;#000000;1;10
S0742_P19_LINEAR_1;;R-49154;No; #15ae8c;22;#ff0000;#000000;#000000;1;10
S0742_M13_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0742_G23_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0742_C13_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0743_H14_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0742_F6_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0743_H23_LINEAR_1;;R-53271;No; #b701a5;21;#0000ff;#000000;#000000;1;10
S0742_J20_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0743_J1_LINEAR_1;;LMG 6906T;No; #00ff80;12;#fe4a81;#000000;#000000;1;10
S0742_A9_LINEAR_1;;LMG 11401;No; #d08a66;20;#6dada4;#000000;#000000;1;10
S0742_K9_LINEAR_1;;R-49154;No; #15ae8c;22;#ff0000;#000000;#000000;1;10
S0743_D18_LINEAR_1;;LMG 7761;No; #8955f3;15;#80ffff;#000000;#000000;1;10
S0743_P6_LINEAR_1;;LMG 11437;No; #ff00ff;27;#11b415;#000000;#000000;1;10
S0742_I19_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0742_E23_LINEAR_1;;LMG 7761;No; #8955f3;4;#390ca8;#000000;#000000;1;10
S0743_N20_LINEAR_1;;LMG 7761;No; #8955f3;4;#390ca8;#000000;#000000;1;10
S0742_J2_LINEAR_1;;LMG 16322;No; #0d7a2f;18;#5455f8;#000000;#000000;1;10
S0743_F14_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0743_G13_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0742_L4_LINEAR_1;;R-47349;No; #0e025e;6;#80ff80;#000000;#000000;1;10
S0742_B6_LINEAR_1;;LMG 6906T;No; #00ff80;12;#fe4a81;#000000;#000000;1;10
S0742_B5_LINEAR_1;;LMG 6906T;No; #00ff80;12;#fe4a81;#000000;#000000;1;10
S0742_L3_LINEAR_1;;R-47349;No; #0e025e;28;#ff0080;#000000;#000000;1;10
S0742_A10_LINEAR_1;;LMG 11401;No; #d08a66;20;#6dada4;#000000;#000000;1;10
S0743_B21_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0743_G14_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0742_M14_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0742_I1_LINEAR_1;;LMG 16322;No; #0d7a2f;18;#5455f8;#000000;#000000;1;10
S0742_O8_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0742_M15_LINEAR_1;;LMG 16322;No; #0d7a2f;18;#5455f8;#000000;#000000;1;10
S0743_N5_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0743_H24_LINEAR_1;;R-53271;No; #b701a5;21;#0000ff;#000000;#000000;1;10
S0742_F5_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0742_H13_LINEAR_1;;LMG 11495;No; #ff8000;9;#ffff00;#000000;#000000;1;10
S0743_B3_LINEAR_1;;LMG 16322;No; #0d7a2f;18;#5455f8;#000000;#000000;1;10
S0742_O7_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0742_G24_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0743_C22_LINEAR_1;;LMG 11434;No;#00ff00;15;#80ffff;#000000;#000000;1;10
S0743_G23_LINEAR_1;;R-53271;No; #b701a5;21;#0000ff;#000000;#000000;1;10
S0743_C21_LINEAR_1;;LMG 11434;No;#00ff00;15;#80ffff;#000000;#000000;1;10
S0743_L12_LINEAR_1;;LMG 16322;No; #0d7a2f;18;#5455f8;#000000;#000000;1;10
S0743_D23_LINEAR_1;;LMG 11437;No; #ff00ff;27;#11b415;#000000;#000000;1;10
S0742_E24_LINEAR_1;;LMG 7761;No; #8955f3;4;#390ca8;#000000;#000000;1;10
S0743_A21_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0742_K16_LINEAR_1;;LMG 7761;No; #8955f3;4;#390ca8;#000000;#000000;1;10
S0743_N6_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0743_C18_LINEAR_1;;LMG 7761;No; #8955f3;15;#80ffff;#000000;#000000;1;10
S0742_P17_LINEAR_1;;R-47349;No; #0e025e;28;#ff0080;#000000;#000000;1;10
S0743_H13_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0743_A20_LINEAR_1;;R-46486;No; #16569b;34;#0640ce;#000000;#000000;1;10
S0742_H14_LINEAR_1;;LMG 11495;No; #ff8000;9;#ffff00;#000000;#000000;1;10
S0742_A6_LINEAR_1;;LMG 6906T;No; #00ff80;12;#fe4a81;#000000;#000000;1;10
S0743_G24_LINEAR_1;;R-53271;No; #b701a5;21;#0000ff;#000000;#000000;1;10
S0742_B21_LINEAR_1;;LMG 11495;No; #ff8000;9;#ffff00;#000000;#000000;1;10
S0742_K10_LINEAR_1;;R-49154;No; #15ae8c;12;#fe4a81;#000000;#000000;1;10
S0742_E5_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0742_N19_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0742_M19_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0742_E6_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0743_B22_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0742_D19_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0742_J6_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0743_B20_LINEAR_1;;R-46486;No; #16569b;34;#0640ce;#000000;#000000;1;10
S0742_D20_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0742_N20_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0742_A18_LINEAR_1;;LMG 11437;No; #ff00ff;27;#11b415;#000000;#000000;1;10
S0742_N4_LINEAR_1;;LMG 11495;No; #ff8000;9;#ffff00;#000000;#000000;1;10
S0742_N3_LINEAR_1;;LMG 11495;No; #ff8000;9;#ffff00;#000000;#000000;1;10
S0743_C17_LINEAR_1;;LMG 7761;No; #8955f3;4;#390ca8;#000000;#000000;1;10
S0743_N19_LINEAR_1;;LMG 7761;No; #8955f3;4;#390ca8;#000000;#000000;1;10
S0743_D17_LINEAR_1;;LMG 7761;No; #8955f3;4;#390ca8;#000000;#000000;1;10
S0743_E3_LINEAR_1;;LMG 11495;No; #ff8000;19;#096887;#000000;#000000;1;10
S0742_M8_LINEAR_1;;LMG 11988;No; #4501bc;16;#905484;#000000;#000000;1;10
S0742_N16_LINEAR_1;;LMG 16322;No; #0d7a2f;18;#5455f8;#000000;#000000;1;10
S0742_F12_LINEAR_1;;R-47349;No; #0e025e;28;#ff0080;#000000;#000000;1;10
S0742_I20_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0742_H6_LINEAR_1;;LMG 11401;No; #d08a66;20;#6dada4;#000000;#000000;1;10
S0742_N13_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0743_M23_LINEAR_1;;LMG 11434;No;#00ff00;15;#80ffff;#000000;#000000;1;10
S0742_N14_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0742_A5_LINEAR_1;;LMG 6906T;No; #00ff80;12;#fe4a81;#000000;#000000;1;10
S0742_I6_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0742_I5_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0743_M24_LINEAR_1;;LMG 11434;No;#00ff00;15;#80ffff;#000000;#000000;1;10
S0743_M6_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0743_M5_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0742_F18_LINEAR_1;;LMG 6906T;No; #00ff80;12;#fe4a81;#000000;#000000;1;10
S0742_E13_LINEAR_1;;R-49154;No; #15ae8c;12;#fe4a81;#000000;#000000;1;10
S0743_J6_LINEAR_1;;LMG 11401;No; #d08a66;22;#ff0000;#000000;#000000;1;10
S0743_J5_LINEAR_1;;LMG 11401;No; #d08a66;18;#5455f8;#000000;#000000;1;10
S0742_O19_LINEAR_1;;R-49154;No; #15ae8c;22;#ff0000;#000000;#000000;1;10
S0742_O20_LINEAR_1;;R-49154;No; #15ae8c;12;#fe4a81;#000000;#000000;1;10
S0742_A17_LINEAR_1;;LMG 11437;No; #ff00ff;27;#11b415;#000000;#000000;1;10
S0743_A22_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0743_C23_LINEAR_1;;LMG 11437;No; #ff00ff;27;#11b415;#000000;#000000;1;10
S0742_F17_LINEAR_1;;LMG 6906T;No; #00ff80;12;#fe4a81;#000000;#000000;1;10
S0743_C14_LINEAR_1;;R-53271;No; #b701a5;21;#0000ff;#000000;#000000;1;10
S0742_K23_LINEAR_1;;LMG 11437;No; #ff00ff;27;#11b415;#000000;#000000;1;10
S0743_L16_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0742_M16_LINEAR_1;;LMG 16322;No; #0d7a2f;18;#5455f8;#000000;#000000;1;10
S0743_D14_LINEAR_1;;R-53271;No; #b701a5;21;#0000ff;#000000;#000000;1;10
S0743_K12_LINEAR_1;;LMG 16322;No; #0d7a2f;18;#5455f8;#000000;#000000;1;10
S0743_O6_LINEAR_1;;LMG 11437;No; #ff00ff;27;#11b415;#000000;#000000;1;10
S0743_O14_LINEAR_1;;LMG 11969;No; #80bf80;33;#8e4d0e;#000000;#000000;1;10
S0743_D13_LINEAR_1;;R-53271;No; #b701a5;21;#0000ff;#000000;#000000;1;10
S0742_P20_LINEAR_1;;R-49154;No; #15ae8c;12;#fe4a81;#000000;#000000;1;10
S0742_E12_LINEAR_1;;R-47349;No; #0e025e;28;#ff0080;#000000;#000000;1;10
S0743_F24_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0743_D24_LINEAR_1;;LMG 11437;No; #ff00ff;27;#11b415;#000000;#000000;1;10
S0743_L15_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0742_A19_LINEAR_1;;LMG 11438;No; #0080ff;11;#86cf01;#000000;#000000;1;10
S0743_M20_LINEAR_1;;LMG 7761;No; #8955f3;4;#390ca8;#000000;#000000;1;10
S0742_A20_LINEAR_1;;LMG 11438;No; #0080ff;11;#86cf01;#000000;#000000;1;10
S0743_I5_LINEAR_1;;LMG 11401;No; #d08a66;18;#5455f8;#000000;#000000;1;10
S0743_F23_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0743_K16_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0742_L12_LINEAR_1;;R-53271;No; #b701a5;30;#35e9b6;#000000;#000000;1;10
S0743_B7_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0743_O22_LINEAR_1;;LMG 12023;No; #e3ff05;16;#905484;#000000;#000000;1;10
S0742_A22_LINEAR_1;;LMG 11495;No; #ff8000;9;#ffff00;#000000;#000000;1;10
S0742_G5_LINEAR_1;;LMG 11401;No; #d08a66;22;#ff0000;#000000;#000000;1;10
S0742_N7_LINEAR_1;;LMG 11988;No; #4501bc;16;#905484;#000000;#000000;1;10
S0743_P22_LINEAR_1;;LMG 12023;No; #e3ff05;16;#905484;#000000;#000000;1;10
S0743_C13_LINEAR_1;;R-53271;No; #b701a5;21;#0000ff;#000000;#000000;1;10
S0742_E18_LINEAR_1;;LMG 6906T;No; #00ff80;12;#fe4a81;#000000;#000000;1;10
S0742_C19_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0743_I6_LINEAR_1;;LMG 11401;No; #d08a66;20;#6dada4;#000000;#000000;1;10
S0742_E14_LINEAR_1;;R-49154;No; #15ae8c;12;#fe4a81;#000000;#000000;1;10
S0742_C20_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0743_B8_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0742_E17_LINEAR_1;;LMG 6906T;No; #00ff80;12;#fe4a81;#000000;#000000;1;10
S0743_K15_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0743_E24_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0743_P14_LINEAR_1;;LMG 11969;No; #80bf80;33;#8e4d0e;#000000;#000000;1;10
S0742_M20_LINEAR_1;;R-33878;No; #88486d;16;#905484;#000000;#000000;1;10
S0743_A7_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0742_M7_LINEAR_1;;LMG 11988;No; #4501bc;16;#905484;#000000;#000000;1;10
S0743_A8_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0743_P20_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0742_N8_LINEAR_1;;LMG 11988;No; #4501bc;16;#905484;#000000;#000000;1;10
S0742_F15_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0742_F16_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0742_B10_LINEAR_1;;LMG 11401;No; #d08a66;19;#096887;#000000;#000000;1;10
S0743_E23_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0743_O20_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0742_E11_LINEAR_1;;R-47349;No; #0e025e;28;#ff0080;#000000;#000000;1;10
S0742_G6_LINEAR_1;;LMG 11401;No; #d08a66;22;#ff0000;#000000;#000000;1;10
S0743_C24_LINEAR_1;;LMG 11437;No; #ff00ff;27;#11b415;#000000;#000000;1;10
S0743_P5_LINEAR_1;;LMG 11437;No; #ff00ff;27;#11b415;#000000;#000000;1;10
S0743_O5_LINEAR_1;;LMG 11437;No; #ff00ff;27;#11b415;#000000;#000000;1;10
S0742_L11_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0742_K12_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0742_O22_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0742_K11_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0742_O21_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0742_P21_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0743_M15_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0743_M16_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0743_N16_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0742_E16_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0743_N15_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0742_E15_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
